文章編號,永久連結,貼文訊息,類型,國家／地區,語言,已發佈,廣告受眾目標設定,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
127628276929_10157214307516930,https://www.facebook.com/cwgroup/posts/10157214307516930,"【12 mini的電池續航力比iPhone 12少兩小時？】  iPhone 12實現蘋果旗艦產品的多項重大變革，像是5G、平直邊框以及mini機款。但如果真的想知道值不值得買，可以先看這些蘋果沒說的事，卻透露了最多訊息....  － 📣訂閱頻道看更多｜  升級《天下》LINE，即可免費訂閱頻道，掌握健康醫療知識零時差。立即前往>> https://maac.io/1ffCR""",Link,,,10/14/20, ,59105,59105,0,62118,62118,0,4039,3927,4801,3,3,39614,36478,0,0,1980,0,0,0,0,0,0,0,0,0,0
127628276929_10157210466121930,https://www.facebook.com/cwgroup/posts/10157210466121930,【維生素D不足的人更容易發胖？】  歷時5年，追蹤超過近5千名65歲以上的婦女，發現在571名變胖的婦女中，維生素D不足的人比擁有足夠維生素D的人增加了１公斤。甚至還與骨質疏鬆、心臟病、糖尿病、阿茲海默症等疾病有關。該如何正確補充？,Link,,,10/14/20, ,27069,27069,0,30183,30183,0,1254,1191,1300,3,3,28363,25494,0,0,1168,0,0,0,0,0,0,0,0,0,0
127628276929_10157212897196930,https://www.facebook.com/cwgroup/posts/10157212897196930,#企業突圍【比細節、比龜毛　鼎泰豐的5大獨門心法！】 　 「悶蓋運送後，小籠包個個完整、炒飯依然乾鬆，口感還能維持，」美食家葉怡蘭曾在臉書盛讚鼎泰豐外帶外送的高品質。 　 從巷口小店躍升全球餐飲品牌，鼎泰豐幾乎成了台灣餐飲業的必修課，去年開始外送後，又引發效仿風潮。 　 每道菜烹製時間不一，如何讓客人吃到溫度一致的餐點？《天下》記者獨家進入鼎泰豐總部，揭露鼎泰豐5大外送心法，看看到底有多龜毛。  - 🔥訂閱「#企業突圍電子報」，立即掌握最新產業趨勢、經營管理心法 >> https://bit.ly/2LnMp3F,Link,,,10/14/20, ,24661,24661,0,26857,26857,0,756,693,782,1,1,23846,21835,0,0,657,0,0,0,0,0,0,0,0,0,0
127628276929_10157213853646930,https://www.facebook.com/cwgroup/posts/10157213853646930,#今日熱文 　 他花了一年左右的時間，每天帶著同樣一台體重計，固定同一時間量體重，成功從91公斤瘦到71公斤。 　　 他逼自己從夜貓子變成晨型人，每天早上7點半第一個到公司，安靜地先讀一個多小時的書。　 　 今年他被《富比士》列入2020年度亞洲「30 Under 30」名人榜，是亞洲科技領域類別中台灣唯一上榜者。 　 他嚴以律己，就是為了準備當好CEO。今年28歲的Dcard共同創辦人林裕欽，如何自我改造，帶領公司突破「創新者的窘境」？ 　 【加入《天下》Telegram ，每日早晨直送國內外重要新聞】 點擊連結👉 http://t.me/cwmagazine,Link,,,10/14/20, ,464883,455840,11263,496191,484535,11656,42843,39214,48679,13,13,148700,136078,4988,4626,10062,0,0,0,0,0,0,0,0,0,0
127628276929_10157213662436930,https://www.facebook.com/cwgroup/posts/10157213662436930,陶晶瑩的幸福，並非因為她特別幸運，而在於她自有一套幸福哲學：選你所愛，愛你所選，只要能貫徹始終，幸福便會迎面而來。  知所取捨，然後知足，就不會跟自己過不去。,Link,,,10/14/20, ,28569,28569,0,31841,31841,0,658,546,620,6,6,29949,26715,0,0,608,0,0,0,0,0,0,0,0,0,0
127628276929_10157213868836930,https://www.facebook.com/cwgroup/posts/10157213868836930,＃天下晨間新聞　   恐怖的單日確診2.2萬例，法國宣布宵禁。  習近平視察深圳，再提及一國兩制。,Link,,,10/14/20, ,29044,29044,0,32502,32502,0,1533,1294,1346,4,4,30562,27167,0,0,1436,0,0,0,0,0,0,0,0,0,0
127628276929_10157212707161930,https://www.facebook.com/cwgroup/posts/10157212707161930,◤興趣變志業  超越星巴克的台灣咖啡品牌◢ ＃連鎖咖啡龍頭重新洗牌_你願意支持台灣品牌嗎？ 　 台灣咖啡品牌 #路易莎 大舉展店， 從一家外帶咖啡的5坪小店 拓展到17億的咖啡王國。 　 創辦人黃銘賢從決定開咖啡店的那一刻起 就沒有一天的生活是脫離咖啡的... 　 ＃永不放棄是成功的唯一可能－黃銘賢 　 如今路易莎門市全台總店數已超越星巴克 他是怎麼成功的？創辦人這樣說... -- 訂閱天下雜誌youtube，看盡天下事： https://bit.ly/30EMsQF　 　 ＃天下雜誌video,Video,,,10/14/20, ,69391,69391,0,75908,75908,0,1541,1406,1712,5,5,70135,64149,0,0,1408,837,837,0,0,20171,21207,0,0,9281,267029
127628276929_10157212056936930,https://www.facebook.com/cwgroup/posts/10157212056936930,我們不再經營感情關係，只知道經營「自我」。追求完美的不歸路上，與人周旋顯得多餘而奢侈。,Link,,,10/14/20, ,43019,43019,0,47765,47765,0,1700,1586,1739,4,4,44992,40538,0,0,1545,0,0,0,0,0,0,0,0,0,0
127628276929_10157212873946930,https://www.facebook.com/cwgroup/posts/10157212873946930,#夜間輕讀【宋少卿 ：珍惜當下，別等到「兩腿一伸」才悔不當初】  宋媽媽驟逝後數月，尚稱硬朗的宋爸爸，有一天突然說：「我好想老太婆啊，現在都沒人吵架。」臨走前，父親告訴他，自己年紀大了，不該拖累年輕人，「你媽走了也一段時間，我不能讓她太孤單。」  在為人子女心中，父母的離世，宛如長久以來安定堅實的堡壘瞬間瓦解，當那一刻真正到來，我們才驚覺，父母鋪陳在我們身上的情感，是如何綿密的影響我們的人生。,Link,,,10/14/20, ,1317942,1317942,0,1399689,1399689,0,157765,143964,160712,68,68,200955,182520,0,0,13970,0,0,0,0,0,0,0,0,0,0
127628276929_10157212868201930,https://www.facebook.com/cwgroup/posts/10157212868201930,【36歲的桂綸鎂：當心裡有任何不安定，或對自己不誠實時，要回歸本質去回望自己】  小鎂在17歲時懵懵懂懂拍了一部電影，之後的人生彷彿不斷追尋呼應著當年《藍色大門》裡的叩問：我們會變成什麼樣的大人？  20年後，36歲的她還是會煩惱未來想成為一個什麼樣子的人？她分享，「其實把一些空間讓出來會是比較好的狀態。很多事情不用著急，很多事情需要時間，就順著現在的勢、現在的感覺去處理就好。」,Link,,,10/14/20, ,222060,222060,0,245085,245085,0,16459,11530,13253,11,11,45602,41194,0,0,1376,0,0,0,0,0,0,0,0,0,0
127628276929_10157212051281930,https://www.facebook.com/cwgroup/posts/10157212051281930,白天是位上班族，下班後投入團購群組，他從肉乾賣到骨灰罐，賺進的獎金還比主業多。她為了買房，如何身兼多職賺到頭期款？這些斜槓青年怎麼辦到的？,Link,,,10/14/20, ,15854,15854,0,17720,17720,0,557,544,567,2,2,16174,14759,0,0,490,0,0,0,0,0,0,0,0,0,0
127628276929_10157213108076930,https://www.facebook.com/cwgroup/posts/10157213108076930,#國際視窗【英國父母：學中文還不如學Python】 　 隨著中國崛起，英國家長爭相送小孩學中文。但近來愈來愈多人發現，學中文非常困難、實際效益又不如預期。中文本身已不再被視為一張炙手可熱的門票，還不如訓練小孩學習程式語言。 　 ▌升級《天下》LINE，立享3日網站免費暢讀，再送$100折價券 https://maac.io/1ffB2,Link,,,10/14/20, ,26286,26286,0,28716,28716,0,1064,1023,1188,4,4,26763,24204,0,0,956,0,0,0,0,0,0,0,0,0,0
127628276929_10157212862231930,https://www.facebook.com/cwgroup/posts/10157212862231930,#Off學【身心靈暖起來！北投療癒小旅行】  在地人談起北投，幾乎是異口同聲：「北投的文化底蘊太豐富了！」日治時代的溫泉療養所、私人會所、鐵道建設、台語片的好萊塢、關渡平原的米倉、眷村，以及戰後溫泉休閒業帶起的情色與餐飲文化。  除了溫泉，北投還有許多地方值得細細品味......  --------------------------------------------- 【給最懂生活的你，歡迎訂閱 Off學電子報】 https://bit.ly/2X9AYSK,Link,,,10/14/20, ,14180,14180,0,15962,15962,0,212,172,189,1,1,14764,13193,0,0,193,0,0,0,0,0,0,0,0,0,0
127628276929_10157212792756930,https://www.facebook.com/cwgroup/posts/10157212792756930,【先有小孩、再第一次見面　《紐時》奇幻愛情故事】 　 比電影還戲劇化！在艾倫與潔西卡第一次見面前，他們的親生女兒已經12歲了，這段刻骨銘心的愛情，發生什麼曲折的事？  - 🔥更多精彩內容，請看《台灣起跑　亞洲新熱點》https://bit.ly/33yzpCl,Link,,,10/14/20, ,224108,224108,0,243361,243361,0,24270,23795,26241,12,12,48680,44857,0,0,1980,0,0,0,0,0,0,0,0,0,0
127628276929_10157212892041930,https://www.facebook.com/cwgroup/posts/10157212892041930,【一場結合科技的「咖啡革命」正在古坑上演】  回溯過去，早在日治時期產自古坑的咖啡，即曾被總督府進貢給日本天皇，之後逐漸沒落。直到2003年雲林舉辦第一屆咖啡節，再度打響「古坑咖啡」名號，但卻因15年前混豆事件讓消費者信心跌至谷底。  是什麼樣的契機，再度讓古坑咖啡復活，甚至讓農民再也不必看老天臉色？,Link,,,10/14/20, ,15311,15311,0,16796,16796,0,181,132,134,2,2,15734,14337,0,0,165,0,0,0,0,0,0,0,0,0,0
127628276929_10157212957801930,https://www.facebook.com/cwgroup/posts/10157212957801930,【全台水情拉警報，為什麼不趁機清淤泥呢？】 　 全台水情緊張，首次10月就開始減壓供水。但水庫缺水，除了老天爺沒下雨之外，水庫塞了一堆淤泥，蓄水效率嚴重低落，也是關鍵。這麼說來，不是該趁現在缺水時，趕快清淤泥嗎？  - 📣無限暢讀《天下》，新訂戶首次訂閱「天下全閱讀」，3個月只要$399  立即訂閱 >> https://bit.ly/2yxJ7Yg,Link,,,10/14/20, ,419622,419622,0,447743,447743,0,64811,62848,73882,28,28,175450,158992,0,0,17276,0,0,0,0,0,0,0,0,0,0
127628276929_10157212937696930,https://www.facebook.com/cwgroup/posts/10157212937696930,【相隔9年重返日職　從小不是王牌，陳偉殷用苦練熬出頭】 　 如果說棒球的上帝是個左撇子，左投的陳偉殷並沒有因此獲得太多的幸運。 　 小時候打棒球，第一個手套，是右撇子用的，接到球之後，還要趕快把手套拿起來，用左手傳球；好不容易媽媽存錢買了左手手套給他，卻被反對小孩打球的爸爸發現，拿菜刀剁碎。 　 「我從高中開始，就知道我不是最被看好的球員，我的決心就是拚了，我就做給你看。」不服輸的陳偉殷，棒球路卻異常崎嶇…  - ▌升級《天下》LINE，立享3日網站免費暢讀，再送$100折價券 https://maac.io/1ffB2,Link,,,10/14/20, ,16259,16259,0,17947,17947,0,216,180,189,1,1,16436,14834,0,0,185,0,0,0,0,0,0,0,0,0,0
127628276929_10157212794996930,https://www.facebook.com/cwgroup/posts/10157212794996930,【疫情和教育之間的拔河】#台灣小留學生 　 美國至今對於是否讓學生回到校園這件事情，還是沒有統一的答案，而會因各州的政治立場以及學區的資源多寡有所不同。也因此，開始有許多對美國的防疫措施和目前的教育系統感到不信任的家長們，紛紛帶著孩子出走美利堅共和國，轉往其他國家或自己生長的家鄉受教育，作者稱這樣的現象為「美國版的孟母三遷」。 　 為了小孩教育而選擇回台灣的孟母們當中，有的待半年，有的待一年。台灣與美國相當不同的教育環境，對家長與小留學生們都是不容易適應的文化衝擊。疫情下不得已的遷移，正好一探了台美教育的差異。 → 　 ▍「換日線 10X10 亮點人物」網路徵選開跑，成為青年領袖由此報名 >> bit.ly/32UHFvT,Link,,,10/14/20, ,12517,12517,0,13854,13854,0,204,163,195,2,2,12959,11865,0,0,184,0,0,0,0,0,0,0,0,0,0
127628276929_10157212599921930,https://www.facebook.com/cwgroup/posts/10157212599921930,◤他為蘋果創作世界最長剪紙 庫克都為他點讚◢ iphone 12即將開賣，果粉們準備衝了嗎？！ 　 iphone 12亮相造成網路上熱烈的討論， 回顧台灣首間Apple Store直營店開幕時， 剪紙藝術家楊士毅用世界最長的剪紙 在台北101 Apple Store種下一棵樹， 讓蘋果執行長庫克在推特寫下：「有閒來坐」。 　 #用雙手給人幸福_藝術只是手段跟媒介—楊士毅 　 總是用藝術帶給人們幸福的楊士毅 其實在成長的過程中一度找不到活下去的理由... 　 是什麼原因讓這樣的孩子， 長大後誓言成為帶給社會幸福的人？ -- 訂閱天下雜誌youtube，看盡天下事： https://bit.ly/30EMsQF 　 #天下雜誌video,Video,,,10/14/20, ,34893,34893,0,37676,37676,0,608,535,646,5,5,34305,31848,0,0,531,227,227,0,0,8780,8788,0,0,8134,332287
127628276929_10157212794351930,https://www.facebook.com/cwgroup/posts/10157212794351930,過去幾年間，數不盡的專家與評論者都試圖解析川普的狂人行徑，試圖以自戀、妄想等模式理解他的那些瘋狂舉動。  然而在川普的親人眼中，川普的問題比自戀或妄想更複雜，卻也更單純。他的姪女這樣說：,Link,,,10/14/20, ,41728,41728,0,45770,45770,0,2335,2258,2591,4,4,43200,39270,0,0,2124,0,0,0,0,0,0,0,0,0,0
127628276929_10157212812051930,https://www.facebook.com/cwgroup/posts/10157212812051930,【父母有沒有努力教小孩，不需要向任何人證明】  我沒事盡量不出門，非得帶孩子們出一趟門，就先做好要道歉三百遍的準備。  突然紅了之後粉專湧入的人潮，讓我感受到在台灣的父母壓力好大，因為我天天都收到教我怎麼教小孩的訊息。教養糾察隊的出現，讓我產生了第一個使命感，我要盡可能地告訴大家──#養小孩不需要接受公評…↙️↙️,Link,,,10/14/20, ,21322,21322,0,22894,22894,0,744,643,730,1,1,21441,19675,0,0,661,0,0,0,0,0,0,0,0,0,0
127628276929_10157212857976930,https://www.facebook.com/cwgroup/posts/10157212857976930,【為什麼愈來愈多人搶著申請B型企業認證？】  英國B型實驗室表示，在英國平均每日申請的企業增加了一倍，年度認證企業增加了40%，服裝、珠寶和皮革製品類尤其受到關注。 據英國國家統計局的數據，獲得B型企業認證的品牌，其成長速度比2018年英國國民經濟成長率的0.5%，高出了13.5%。  為什麼愈來愈多人申請B型企業認證？為什麼有魔法般功效？  #CSR #CSR天下 #企業社會責任 #B型企業 #永續時尚 #環境友善 #社區發展 #公司治理 #影響力商業模式 #Patagonia,Link,,,10/14/20, ,16434,16434,0,18157,18157,0,192,165,175,1,1,17012,15388,0,0,179,0,0,0,0,0,0,0,0,0,0
127628276929_10157208407846930,https://www.facebook.com/cwgroup/posts/10157208407846930,#廣編企劃【就業三箭、鼓勵新創，陪伴新北青年大膽圓夢，闖出一片天！】  隨著時代變遷、科技匯流，加上年初以來疫情衝擊，青年就業與創業議題成為社會關注的焦點，為了陪伴更多年輕世代順利圓夢，新北市政府以一連串具體行動打造優質環境、媒合資源以鼓勵新創，陪伴更多青年勇闖職涯。  #新北市政府 #就業三箭 #青年 #創業 #新創,Link,,,10/14/20, ,10897,10897,0,12288,12288,0,112,80,82,3,3,11502,10317,0,0,102,0,0,0,0,0,0,0,0,0,0
127628276929_10157212793476930,https://www.facebook.com/cwgroup/posts/10157212793476930,【iPhone12新機，哪款最划算？】  蘋果在今天凌晨推出iPhone 12系列新機，一共有四款新機，台灣賣多少？哪款最划算？  #未來城市 #智慧城市 #智慧生活 #5G #5G手機 #iPhone #iPhonemini #iPhone12 #TouchID #手機 #蘋果,Link,,,10/14/20, ,30129,30129,0,34335,34335,0,1580,1518,1722,2,2,31817,28053,0,0,1416,0,0,0,0,0,0,0,0,0,0
127628276929_10157212737601930,https://www.facebook.com/cwgroup/posts/10157212737601930,【教改挑戰清單－108課綱能拯救無動力世代嗎？】  「考上好學校，找到好工作，賺到好多錢」 通往成功的路只有一條嗎？大多人所認為的成功路徑、模子標準化的教育方式，卻帶來了提不起熱忱學習的莘莘學子，108課綱能拯救無動力世代嗎？  👉閱讀完整文章：https://bit.ly/36WNDio 👉深入了解108課綱素養教育：https://bit.ly/34zWfZE #108課綱 #素養教育 #2020天下教育特刊 #11月正式出刊 #現正預購中,Link,,,10/14/20, ,134096,134096,0,150522,150522,0,12796,11756,14037,10,10,40603,36468,0,0,1339,0,0,0,0,0,0,0,0,0,0
127628276929_10157212042451930,https://www.facebook.com/cwgroup/posts/10157212042451930,【讓老闆難堪的話，你還掛在嘴邊？】  常活在老闆的情緒喜好之中，讓人沒尊嚴？  老闆也是人，跟所有人一樣，有共同的需求，老闆也需要得到別人的肯定和諒解。換個方式，老闆更能把你的話聽進去！,Link,,,10/13/20, ,12478,12478,0,13675,13675,0,322,301,335,2,2,12698,11655,0,0,294,0,0,0,0,0,0,0,0,0,0
127628276929_10157212624941930,https://www.facebook.com/cwgroup/posts/10157212624941930,【過了三十歲，還沒有結婚的對象　讓妳焦慮嗎？】 　 「越老就越找不到好對象。」 「年紀大生小孩太辛苦了，帶小孩也會很累。」 「將來你老了誰照顧你。」 「不要再挑了，找個合適的對象就結婚吧！」  身邊的人開始用一些話來刺激你，看著朋友們一個個步入婚姻，「剩下來」的妳該如何是好？,Link,,,10/13/20, ,54326,54326,0,58483,58483,0,2395,2219,2670,4,4,54955,50785,0,0,2170,0,0,0,0,0,0,0,0,0,0
